phase_code,region_code,label,description,utc_start,utc_end,wraps_midnight,priority,volatility_level,volume_impact,typical_duration_min,trading_pattern,dominant_actors,news_sensitivity,category
GLOBAL_EU_US_OVERLAP,GLOBAL,EU-US Overlap,"Nakładanie się sesji europejskiej i amerykańskiej - największa płynność i zmienność","13:00","17:00",FALSE,3,HIGH,HIGH,240,VOLATILE,INSTITUTIONAL,HIGH,OVERLAP
GLOBAL_US_ASIA_OVERLAP,GLOBAL,US-Asia Overlap,"Nakładanie się sesji amerykańskiej i azjatyckiej - przejście nocne","21:00","00:00",TRUE,5,MEDIUM,LOW,180,RANGING,RETAIL,LOW,OVERLAP

# ================================================================================
# PŁYNNOŚĆ I SPOKOJNE OKRESY
# ================================================================================
GLOBAL_LIQUIDITY_TROUGH,GLOBAL,Global Liquidity Trough,"Najniższa płynność globalna - niebezpieczne flash crashe","04:00","06:00",FALSE,20,LOW,LOW,120,RANGING,ALGO,LOW,LIQUIDITY
GLOBAL_WEEKEND_LOW,GLOBAL,Weekend Liquidity Low,"Weekendowa niska płynność (sobota-niedziela)","00:00","23:59",FALSE,25,LOW,LOW,1440,RANGING,RETAIL,LOW,WEEKEND
GLOBAL_SUNDAY_GAP_RISK,GLOBAL,Sunday Gap Risk,"Ryzyko luki cenowej przed poniedziałkiem","18:00","23:59",FALSE,15,MEDIUM,LOW,360,VOLATILE,RETAIL,MEDIUM,WEEKEND

# ================================================================================
# SZCZYTY ZMIENNOŚCI
# ================================================================================
GLOBAL_VOLATILITY_PEAK,GLOBAL,Global Volatility Peak,"Okno najwyższej zmienności dziennej","14:30","16:00",FALSE,6,HIGH,HIGH,90,VOLATILE,MIXED,HIGH,SESSION
GLOBAL_VOLATILITY_ASIAN,GLOBAL,Asian Volatility Window,"Okno zmienności azjatyckiej (2-3 w nocy UTC)","01:00","03:00",FALSE,12,HIGH,MEDIUM,120,VOLATILE,RETAIL,MEDIUM,SESSION

# ================================================================================
# CHINY (CN) - UTC+8
# ================================================================================
CN_MORNING_PEAK,CN,China Morning Peak,"Poranne okno aktywności w Chinach (lokalny 7:00-10:00)","23:00","02:00",TRUE,10,MEDIUM,HIGH,180,TRENDING,RETAIL,MEDIUM,SESSION
CN_LUNCH_BREAK,CN,China Lunch Break,"Przerwa obiadowa - spadek aktywności (lokalny 12:00-14:00)","04:00","06:00",FALSE,18,LOW,LOW,120,RANGING,RETAIL,LOW,LIQUIDITY
CN_EVENING_PEAK,CN,China Evening Peak,"Wieczorne okno aktywności w Chinach (lokalny 19:00-23:00)","11:00","15:00",FALSE,10,MEDIUM,HIGH,240,MIXED,RETAIL,MEDIUM,SESSION
CN_PBC_ANNOUNCEMENT,CN,PBC Announcement Window,"Okno ogłoszeń Ludowego Banku Chin","01:00","03:00",FALSE,7,HIGH,HIGH,120,VOLATILE,INSTITUTIONAL,HIGH,MACRO

# ================================================================================
# ROSJA (RU) - UTC+3 (Moskwa)
# ================================================================================
RU_MORNING_PEAK,RU,Russia Morning Peak,"Poranna aktywność w Rosji (MSK 7:00-10:00)","04:00","07:00",FALSE,10,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
RU_EVENING_PEAK,RU,Russia Evening Peak,"Wieczorne okno aktywności w Rosji (MSK 18:00-22:00)","15:00","19:00",FALSE,10,MEDIUM,MEDIUM,240,MIXED,RETAIL,MEDIUM,SESSION

# ================================================================================
# SINGAPUR (SG) - UTC+8
# ================================================================================
SG_MORNING_PEAK,SG,Singapore Morning Peak,"Poranne okno aktywności w Singapurze","22:00","01:00",TRUE,10,MEDIUM,HIGH,180,TRENDING,INSTITUTIONAL,MEDIUM,SESSION
SG_TRADING_HOURS,SG,Singapore Trading Hours,"Główne godziny handlu w Singapurze","00:00","08:00",FALSE,12,MEDIUM,HIGH,480,MIXED,INSTITUTIONAL,MEDIUM,SESSION
SG_EVENING_PEAK,SG,Singapore Evening Peak,"Wieczorne okno aktywności w Singapurze","10:00","14:00",FALSE,10,MEDIUM,MEDIUM,240,MIXED,MIXED,MEDIUM,SESSION

# ================================================================================
# USA (US) - UTC-5 (EST) / UTC-4 (EDT)
# ================================================================================
US_PREMARKET,US,US Pre-Market,"Aktywność przed otwarciem giełd USA","12:00","13:30",FALSE,9,MEDIUM,MEDIUM,90,RANGING,INSTITUTIONAL,MEDIUM,SESSION
US_MORNING_PEAK,US,US Morning Peak,"Poranna aktywność inwestorów w USA (NYSE open)","13:30","15:00",FALSE,7,HIGH,HIGH,90,VOLATILE,INSTITUTIONAL,HIGH,SESSION
US_AFTERNOON_PEAK,US,US Afternoon Peak,"Popołudniowy szczyt aktywności w USA","15:00","17:00",FALSE,8,HIGH,HIGH,120,TRENDING,INSTITUTIONAL,MEDIUM,SESSION
US_POWER_HOUR,US,US Power Hour,"Ostatnia godzina sesji NYSE - intensywny handel","19:00","20:00",FALSE,6,HIGH,HIGH,60,VOLATILE,INSTITUTIONAL,MEDIUM,SESSION
US_EVENING_PEAK,US,US Evening Peak,"Wieczorne okno aktywności w USA","20:00","23:00",FALSE,12,MEDIUM,MEDIUM,180,RANGING,RETAIL,LOW,SESSION

# ================================================================================
# KOREA POŁUDNIOWA (KR) - UTC+9
# ================================================================================
KR_MORNING_PEAK,KR,Korea Morning Peak,"Poranna aktywność w Korei Południowej","23:00","02:00",TRUE,10,MEDIUM,HIGH,180,TRENDING,RETAIL,MEDIUM,SESSION
KR_KIMCHI_PREMIUM,KR,Korea Kimchi Premium Window,"Okno potencjalnej premii Kimchi (różnica cen KR vs. globalne)","00:00","04:00",FALSE,8,MEDIUM,HIGH,240,MIXED,RETAIL,MEDIUM,SESSION
KR_EVENING_PEAK,KR,Korea Evening Peak,"Wieczorne okno aktywności w Korei","10:00","14:00",FALSE,10,MEDIUM,MEDIUM,240,MIXED,RETAIL,MEDIUM,SESSION

# ================================================================================
# JAPONIA (JP) - UTC+9
# ================================================================================
JP_MORNING_PEAK,JP,Japan Morning Peak,"Poranna aktywność w Japonii (TSE open)","00:00","03:00",FALSE,10,MEDIUM,HIGH,180,TRENDING,INSTITUTIONAL,MEDIUM,SESSION
JP_BOJ_WATCH,JP,BOJ Announcement Watch,"Okno potencjalnych ogłoszeń Banku Japonii","23:00","02:00",TRUE,6,HIGH,HIGH,180,VOLATILE,INSTITUTIONAL,HIGH,MACRO
JP_EVENING_PEAK,JP,Japan Evening Peak,"Wieczorne okno aktywności w Japonii","10:00","14:00",FALSE,10,MEDIUM,MEDIUM,240,MIXED,MIXED,MEDIUM,SESSION

# ================================================================================
# WIELKA BRYTANIA (GB) - UTC+0/+1
# ================================================================================
GB_MORNING_PEAK,GB,UK Morning Peak,"Poranna aktywność w Wielkiej Brytanii (LSE open)","07:00","10:00",FALSE,9,MEDIUM,HIGH,180,TRENDING,INSTITUTIONAL,HIGH,SESSION
GB_AFTERNOON_PEAK,GB,UK Afternoon Peak,"Popołudniowa aktywność w UK","14:00","16:30",FALSE,10,HIGH,HIGH,150,VOLATILE,INSTITUTIONAL,HIGH,SESSION
GB_EVENING_PEAK,GB,UK Evening Peak,"Wieczorne okno aktywności w UK","18:00","21:00",FALSE,12,MEDIUM,MEDIUM,180,RANGING,RETAIL,LOW,SESSION

# ================================================================================
# NIEMCY (DE) - UTC+1/+2
# ================================================================================
DE_MORNING_PEAK,DE,Germany Morning Peak,"Poranna aktywność w Niemczech (Xetra open)","07:00","10:00",FALSE,10,MEDIUM,HIGH,180,TRENDING,INSTITUTIONAL,HIGH,SESSION
DE_AFTERNOON_PEAK,DE,Germany Afternoon Peak,"Popołudniowa aktywność w Niemczech","13:00","16:00",FALSE,10,HIGH,HIGH,180,VOLATILE,INSTITUTIONAL,HIGH,SESSION
DE_EVENING_PEAK,DE,Germany Evening Peak,"Wieczorne okno aktywności w Niemczech","17:00","20:00",FALSE,12,MEDIUM,MEDIUM,180,RANGING,RETAIL,LOW,SESSION

# ================================================================================
# POLSKA (PL) - UTC+1/+2
# ================================================================================
PL_MORNING_PEAK,PL,Poland Morning Peak,"Poranne okno aktywności inwestorów w Polsce","06:00","09:00",FALSE,10,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
PL_AFTERNOON_PEAK,PL,Poland Afternoon Peak,"Popołudniowa aktywność w Polsce","13:00","16:00",FALSE,12,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
PL_EVENING_PEAK,PL,Poland Evening Peak,"Wieczorne okno aktywności inwestorów w Polsce","17:00","21:00",FALSE,10,MEDIUM,MEDIUM,240,MIXED,RETAIL,LOW,SESSION

# ================================================================================
# HONG KONG (HK) - UTC+8
# ================================================================================
HK_MORNING_PEAK,HK,Hong Kong Morning Peak,"Poranna aktywność w Hong Kongu (HKEX open)","01:00","04:00",FALSE,9,MEDIUM,HIGH,180,TRENDING,INSTITUTIONAL,MEDIUM,SESSION
HK_AFTERNOON_PEAK,HK,Hong Kong Afternoon Peak,"Popołudniowa aktywność w Hong Kongu","05:00","08:00",FALSE,10,MEDIUM,HIGH,180,MIXED,INSTITUTIONAL,MEDIUM,SESSION
HK_EVENING_PEAK,HK,Hong Kong Evening Peak,"Wieczorne okno aktywności w Hong Kongu","10:00","14:00",FALSE,12,MEDIUM,MEDIUM,240,MIXED,MIXED,MEDIUM,SESSION

# ================================================================================
# ZJEDNOCZONE EMIRATY ARABSKIE / DUBAJ (AE) - UTC+4
# ================================================================================
AE_MORNING_PEAK,AE,UAE Morning Peak,"Poranna aktywność w Dubaju (DFM open)","04:00","07:00",FALSE,10,MEDIUM,MEDIUM,180,MIXED,INSTITUTIONAL,MEDIUM,SESSION
AE_BRIDGE_SESSION,AE,UAE Bridge Session,"Dubaj jako most między Azją a Europą","05:00","08:00",FALSE,8,MEDIUM,MEDIUM,180,TRENDING,INSTITUTIONAL,MEDIUM,OVERLAP
AE_EVENING_PEAK,AE,UAE Evening Peak,"Wieczorne okno aktywności w Dubaju","14:00","18:00",FALSE,12,MEDIUM,MEDIUM,240,MIXED,MIXED,LOW,SESSION

# ================================================================================
# AUSTRALIA (AU) - UTC+10/+11
# ================================================================================
AU_MORNING_PEAK,AU,Australia Morning Peak,"Poranna aktywność w Australii (ASX open)","22:00","01:00",TRUE,10,MEDIUM,MEDIUM,180,MIXED,INSTITUTIONAL,MEDIUM,SESSION
AU_AFTERNOON_PEAK,AU,Australia Afternoon Peak,"Popołudniowa aktywność w Australii","03:00","06:00",FALSE,12,LOW,LOW,180,RANGING,RETAIL,LOW,SESSION
AU_EVENING_PEAK,AU,Australia Evening Peak,"Wieczorne okno aktywności w Australii","08:00","12:00",FALSE,12,MEDIUM,MEDIUM,240,MIXED,RETAIL,MEDIUM,SESSION

# ================================================================================
# BRAZYLIA (BR) - UTC-3
# ================================================================================
BR_MORNING_PEAK,BR,Brazil Morning Peak,"Poranna aktywność w Brazylii (B3 open)","12:00","15:00",FALSE,10,MEDIUM,MEDIUM,180,MIXED,MIXED,MEDIUM,SESSION
BR_AFTERNOON_PEAK,BR,Brazil Afternoon Peak,"Popołudniowa aktywność w Brazylii","17:00","20:00",FALSE,12,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
BR_EVENING_PEAK,BR,Brazil Evening Peak,"Wieczorne okno aktywności w Brazylii","21:00","00:00",TRUE,14,MEDIUM,LOW,180,RANGING,RETAIL,LOW,SESSION

# ================================================================================
# INDIE (IN) - UTC+5:30
# ================================================================================
IN_MORNING_PEAK,IN,India Morning Peak,"Poranna aktywność w Indiach (NSE open)","03:30","06:30",FALSE,10,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
IN_AFTERNOON_PEAK,IN,India Afternoon Peak,"Popołudniowa aktywność w Indiach","09:00","12:00",FALSE,12,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
IN_EVENING_PEAK,IN,India Evening Peak,"Wieczorne okno aktywności w Indiach","14:00","18:00",FALSE,12,MEDIUM,MEDIUM,240,MIXED,RETAIL,MEDIUM,SESSION

# ================================================================================
# TURCJA (TR) - UTC+3
# ================================================================================
TR_MORNING_PEAK,TR,Turkey Morning Peak,"Poranna aktywność w Turcji (Borsa Istanbul open)","06:00","09:00",FALSE,10,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
TR_AFTERNOON_PEAK,TR,Turkey Afternoon Peak,"Popołudniowa aktywność w Turcji","12:00","15:00",FALSE,12,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION
TR_EVENING_PEAK,TR,Turkey Evening Peak,"Wieczorne okno aktywności w Turcji (wysoka adopcja crypto)","16:00","20:00",FALSE,10,MEDIUM,MEDIUM,240,MIXED,RETAIL,LOW,SESSION

# ================================================================================
# KANADA (CA) - UTC-5 (EST)
# ================================================================================
CA_MORNING_PEAK,CA,Canada Morning Peak,"Poranna aktywność w Kanadzie (TSX open)","13:30","16:00",FALSE,10,MEDIUM,MEDIUM,150,MIXED,INSTITUTIONAL,HIGH,SESSION
CA_AFTERNOON_PEAK,CA,Canada Afternoon Peak,"Popołudniowa aktywność w Kanadzie","17:00","20:00",FALSE,12,MEDIUM,MEDIUM,180,MIXED,RETAIL,MEDIUM,SESSION

# ================================================================================
# WYDARZENIA MAKROEKONOMICZNE (MACRO EVENTS)
# ================================================================================
MACRO_US_NFP,MACRO,US Nonfarm Payrolls,"Publikacja danych o zatrudnieniu w USA (1. piątek miesiąca)","12:30","14:00",FALSE,2,EXTREME,HIGH,90,VOLATILE,INSTITUTIONAL,HIGH,MACRO
MACRO_US_CPI,MACRO,US CPI Release,"Publikacja danych o inflacji CPI w USA","12:30","14:00",FALSE,2,EXTREME,HIGH,90,VOLATILE,INSTITUTIONAL,HIGH,MACRO
MACRO_US_FOMC,MACRO,FOMC Decision,"Decyzja FOMC dot. stóp procentowych","18:00","20:00",FALSE,1,EXTREME,HIGH,120,VOLATILE,INSTITUTIONAL,HIGH,MACRO
MACRO_US_FOMC_MINUTES,MACRO,FOMC Minutes Release,"Publikacja minutek FOMC","18:00","19:30",FALSE,3,HIGH,HIGH,90,VOLATILE,INSTITUTIONAL,HIGH,MACRO
MACRO_EU_ECB,MACRO,ECB Decision,"Decyzja EBC dot. stóp procentowych","12:15","14:00",FALSE,2,HIGH,HIGH,105,VOLATILE,INSTITUTIONAL,HIGH,MACRO
MACRO_EU_CPI,MACRO,EU CPI Release,"Publikacja danych o inflacji w strefie euro","09:00","10:30",FALSE,4,MEDIUM,MEDIUM,90,VOLATILE,INSTITUTIONAL,HIGH,MACRO
MACRO_JP_BOJ,MACRO,BOJ Decision,"Decyzja Banku Japonii","03:00","05:00",FALSE,3,HIGH,MEDIUM,120,VOLATILE,INSTITUTIONAL,HIGH,MACRO
MACRO_CN_PMI,MACRO,China PMI Release,"Publikacja PMI z Chin","01:00","02:30",FALSE,5,MEDIUM,MEDIUM,90,VOLATILE,INSTITUTIONAL,MEDIUM,MACRO

# ================================================================================
# WYGAŚNIĘCIE OPCJI I FUTURES (OPTIONS/FUTURES EXPIRY)
# ================================================================================
OPTIONS_DERIBIT_DAILY,OPTIONS,Deribit Daily Expiry,"Dzienne wygaśnięcie opcji na Deribit","08:00","08:30",FALSE,8,MEDIUM,MEDIUM,30,VOLATILE,INSTITUTIONAL,LOW,EVENT
OPTIONS_DERIBIT_WEEKLY,OPTIONS,Deribit Weekly Expiry,"Tygodniowe wygaśnięcie opcji na Deribit (piątek)","08:00","09:00",FALSE,5,HIGH,HIGH,60,VOLATILE,INSTITUTIONAL,LOW,EVENT
OPTIONS_DERIBIT_MONTHLY,OPTIONS,Deribit Monthly Expiry,"Miesięczne wygaśnięcie opcji na Deribit (ostatni piątek)","08:00","10:00",FALSE,3,EXTREME,HIGH,120,VOLATILE,INSTITUTIONAL,LOW,EVENT
OPTIONS_CME_MONTHLY,OPTIONS,CME Monthly Expiry,"Miesięczne wygaśnięcie opcji CME na BTC","15:00","16:00",FALSE,3,EXTREME,HIGH,60,VOLATILE,INSTITUTIONAL,LOW,EVENT
OPTIONS_CME_QUARTERLY,OPTIONS,CME Quarterly Expiry,"Kwartalne wygaśnięcie futures CME","15:00","17:00",FALSE,2,EXTREME,HIGH,120,VOLATILE,INSTITUTIONAL,LOW,EVENT
OPTIONS_BINANCE_QUARTERLY,OPTIONS,Binance Quarterly Expiry,"Kwartalne wygaśnięcie kontraktów Binance Futures","08:00","10:00",FALSE,4,HIGH,HIGH,120,VOLATILE,MIXED,LOW,EVENT

# ================================================================================
# HANDEL ALGORYTMICZNY (ALGO TRADING)
# ================================================================================
ALGO_HOURLY_SPIKE,ALGO,Hourly Algo Spike,"Wzrost aktywności algorytmicznej na pełne godziny","*:00","*:05",FALSE,15,MEDIUM,MEDIUM,5,VOLATILE,ALGO,LOW,ALGO
ALGO_15MIN_PATTERN,ALGO,15-Minute Algo Pattern,"Cykliczny wzorzec algorytmiczny co 15 minut","*:00","*:15",FALSE,18,LOW,LOW,15,MIXED,ALGO,LOW,ALGO
ALGO_REBALANCE_DAILY,ALGO,Daily Rebalancing Window,"Okno dziennego rebalancingu funduszy i ETF","20:00","21:00",FALSE,10,MEDIUM,HIGH,60,VOLATILE,INSTITUTIONAL,LOW,ALGO
ALGO_WEEKEND_REDUCED,ALGO,Weekend Algo Reduction,"Zmniejszona aktywność algorytmów w weekend","00:00","23:59",FALSE,20,LOW,LOW,1440,RANGING,RETAIL,LOW,ALGO

# ================================================================================
# SPECJALNE WYDARZENIA RYNKOWE
# ================================================================================
EVENT_BTC_HALVING,EVENT,Bitcoin Halving,"Halving nagrody blokowej BTC (co ~4 lata)","00:00","23:59",FALSE,1,EXTREME,HIGH,1440,VOLATILE,MIXED,HIGH,EVENT
EVENT_CME_GAP,EVENT,CME Gap Window,"Potencjalna luka cenowa CME (poniedziałek open)","22:00","23:30",TRUE,6,HIGH,MEDIUM,90,VOLATILE,INSTITUTIONAL,LOW,EVENT
EVENT_FUNDING_8H,EVENT,8-Hour Funding Rate,"Rozliczenie funding rate co 8 godzin","00:00","00:15",FALSE,12,MEDIUM,MEDIUM,15,VOLATILE,MIXED,LOW,EVENT
EVENT_FUNDING_8H_2,EVENT,8-Hour Funding Rate 2,"Drugie rozliczenie funding rate","08:00","08:15",FALSE,12,MEDIUM,MEDIUM,15,VOLATILE,MIXED,LOW,EVENT
EVENT_FUNDING_8H_3,EVENT,8-Hour Funding Rate 3,"Trzecie rozliczenie funding rate","16:00","16:15",FALSE,12,MEDIUM,MEDIUM,15,VOLATILE,MIXED,LOW,EVENT
EVENT_GRAYSCALE_UNLOCK,EVENT,Grayscale Unlock Period,"Okres odblokowania udziałów GBTC (historycznie znaczący)","13:00","21:00",FALSE,5,HIGH,HIGH,480,VOLATILE,INSTITUTIONAL,MEDIUM,EVENT
EVENT_ETF_REBALANCE,EVENT,ETF Rebalancing,"Miesięczne/kwartalne rebalancowanie ETF BTC","19:00","21:00",FALSE,6,HIGH,HIGH,120,VOLATILE,INSTITUTIONAL,LOW,EVENT

# ================================================================================
# SZCZYTY SENTYMENTU MEDIÓW SPOŁECZNOŚCIOWYCH
# ================================================================================
SOCIAL_US_PEAK,SOCIAL,US Social Media Peak,"Szczyt aktywności social media w USA (Twitter/X)","14:00","22:00",FALSE,14,MEDIUM,MEDIUM,480,MIXED,RETAIL,HIGH,SESSION
SOCIAL_ASIA_PEAK,SOCIAL,Asia Social Media Peak,"Szczyt aktywności social media w Azji","00:00","06:00",FALSE,14,MEDIUM,MEDIUM,360,MIXED,RETAIL,HIGH,SESSION
SOCIAL_EUROPE_PEAK,SOCIAL,Europe Social Media Peak,"Szczyt aktywności social media w Europie","08:00","14:00",FALSE,14,MEDIUM,MEDIUM,360,MIXED,RETAIL,HIGH,SESSION
